event_time,cycle_id,deployment_generation,model_name,model_version,prediction,actual_breakage,drift_score,latency_ms,segment
2026-03-09 22:40:59.904175+00,68,2,cnc_tool_breakage_classifier,2,0,0,0.231312,11.5239,before_update
2026-03-09 22:40:59.955314+00,69,2,cnc_tool_breakage_classifier,2,1,1,0.309069,7.6493,before_update
2026-03-09 22:41:00.006157+00,70,2,cnc_tool_breakage_classifier,2,1,1,0.165383,13.8487,before_update
2026-03-09 22:41:00.057142+00,71,2,cnc_tool_breakage_classifier,2,1,1,0.298461,3.3373,before_update
2026-03-09 22:41:00.108404+00,72,2,cnc_tool_breakage_classifier,2,1,1,0.380316,4.1885,before_update
2026-03-09 22:41:00.15914+00,73,2,cnc_tool_breakage_classifier,2,0,0,0.346834,34.6614,before_update
2026-03-09 22:41:00.210331+00,74,2,cnc_tool_breakage_classifier,2,0,0,0.144639,14.3253,before_update
2026-03-09 22:41:00.261107+00,75,2,cnc_tool_breakage_classifier,2,0,1,0.142735,23.7792,before_update
2026-03-09 22:41:00.31236+00,76,2,cnc_tool_breakage_classifier,2,1,1,0.221642,3.3172,before_update
2026-03-09 22:41:00.36321+00,77,2,cnc_tool_breakage_classifier,2,1,1,0.139283,3.1533,before_update
2026-03-09 22:41:00.414131+00,78,2,cnc_tool_breakage_classifier,2,1,0,0.330537,8.9802,before_update
2026-03-09 22:41:00.467849+00,79,2,cnc_tool_breakage_classifier,2,1,0,0.334564,20.1058,before_update
2026-03-09 22:41:00.519325+00,80,2,cnc_tool_breakage_classifier,2,1,1,0.332348,4.3986,before_update
2026-03-09 22:41:00.575252+00,81,2,cnc_tool_breakage_classifier,2,1,1,0.145106,20.7916,before_update
2026-03-09 22:41:00.631223+00,82,2,cnc_tool_breakage_classifier,2,1,1,0.230707,12.9098,before_update
2026-03-09 22:41:00.686354+00,83,2,cnc_tool_breakage_classifier,2,0,0,0.244916,11.7238,before_update
2026-03-09 22:41:00.742204+00,84,2,cnc_tool_breakage_classifier,2,1,1,0.24052,54.1732,before_update
2026-03-09 22:41:00.793203+00,85,2,cnc_tool_breakage_classifier,2,1,1,0.192607,34.8509,before_update
2026-03-09 22:41:00.845348+00,86,2,cnc_tool_breakage_classifier,2,1,1,0.273018,67.7436,before_update
2026-03-09 22:41:00.896223+00,87,2,cnc_tool_breakage_classifier,2,0,0,0.314154,13.5508,before_update
2026-03-09 22:41:00.94712+00,88,2,cnc_tool_breakage_classifier,2,1,0,0.135063,4.0548,before_update
2026-03-09 22:41:01.000004+00,89,2,cnc_tool_breakage_classifier,2,1,1,0.229079,18.2145,before_update
2026-03-09 22:41:01.051881+00,90,2,cnc_tool_breakage_classifier,2,0,0,0.351033,4.4491,before_update
2026-03-09 22:41:01.108207+00,91,2,cnc_tool_breakage_classifier,2,1,1,0.272744,21.8407,before_update
2026-03-09 22:41:01.159352+00,92,2,cnc_tool_breakage_classifier,2,0,0,0.15076,8.5325,before_update
2026-03-09 22:41:01.211294+00,93,2,cnc_tool_breakage_classifier,2,1,1,0.253283,30.4997,before_update
2026-03-09 22:41:01.26213+00,94,2,cnc_tool_breakage_classifier,2,1,1,0.315398,43.2512,before_update
2026-03-09 22:41:01.313124+00,95,2,cnc_tool_breakage_classifier,2,1,1,0.1076,35.2822,before_update
2026-03-09 22:41:01.364127+00,96,2,cnc_tool_breakage_classifier,2,1,1,0.300883,10.6607,before_update
2026-03-09 22:41:01.416161+00,97,2,cnc_tool_breakage_classifier,2,1,1,0.291365,25.9767,before_update
2026-03-09 22:41:01.467614+00,98,2,cnc_tool_breakage_classifier,2,1,0,0.164304,14.7863,before_update
2026-03-09 22:41:01.523159+00,99,2,cnc_tool_breakage_classifier,2,0,0,0.222318,14.1786,before_update
2026-03-09 22:41:01.574486+00,100,2,cnc_tool_breakage_classifier,2,1,1,0.340684,15.433,before_update
2026-03-09 22:41:01.625814+00,101,2,cnc_tool_breakage_classifier,2,1,1,0.245675,13.0309,before_update
2026-03-09 22:41:01.677606+00,102,2,cnc_tool_breakage_classifier,2,1,1,0.3536,41.7919,before_update
2026-03-09 22:41:01.729832+00,103,2,cnc_tool_breakage_classifier,2,0,1,0.246468,17.4714,before_update
2026-03-09 22:41:01.785284+00,104,2,cnc_tool_breakage_classifier,2,1,1,0.314164,21.1822,before_update
2026-03-09 22:41:01.841191+00,105,2,cnc_tool_breakage_classifier,2,1,0,0.29939,7.5182,before_update
2026-03-09 22:41:01.896637+00,106,2,cnc_tool_breakage_classifier,2,1,0,0.162339,8.916,before_update
2026-03-09 22:41:01.948183+00,107,2,cnc_tool_breakage_classifier,2,1,1,0.238599,17.8865,before_update
2026-03-09 22:41:02.004199+00,108,2,cnc_tool_breakage_classifier,2,0,0,0.273549,26.3846,before_update
2026-03-09 22:41:02.055258+00,109,2,cnc_tool_breakage_classifier,2,1,1,0.179311,81.5548,before_update
2026-03-09 22:41:02.106201+00,110,2,cnc_tool_breakage_classifier,2,1,1,0.376761,45.3735,before_update
2026-03-09 22:41:02.157146+00,111,2,cnc_tool_breakage_classifier,2,1,1,0.253199,10.404,before_update
2026-03-09 22:41:02.208527+00,112,2,cnc_tool_breakage_classifier,2,1,1,0.240184,4.9707,before_update
2026-03-09 22:41:02.26161+00,113,2,cnc_tool_breakage_classifier,2,1,1,0.388578,55.57,before_update
2026-03-09 22:41:02.312131+00,114,2,cnc_tool_breakage_classifier,2,1,1,0.311954,17.8018,before_update
2026-03-09 22:41:02.364051+00,115,2,cnc_tool_breakage_classifier,2,0,0,0.427559,18.6939,before_update
2026-03-09 22:41:02.415455+00,116,2,cnc_tool_breakage_classifier,2,1,1,0.203386,7.137,before_update
2026-03-09 22:41:02.468516+00,117,2,cnc_tool_breakage_classifier,2,1,1,0.24552,18.5584,before_update
2026-03-09 22:41:02.519169+00,118,2,cnc_tool_breakage_classifier,2,1,1,0.307439,21.4108,before_update
2026-03-09 22:41:02.570359+00,119,2,cnc_tool_breakage_classifier,2,1,1,0.213702,6.3877,before_update
2026-03-09 22:41:02.624244+00,120,2,cnc_tool_breakage_classifier,2,1,1,0.261092,21.901,before_update
2026-03-09 22:41:02.675944+00,121,2,cnc_tool_breakage_classifier,2,0,0,0.388844,7.7318,before_update
2026-03-09 22:41:02.727143+00,122,2,cnc_tool_breakage_classifier,2,1,0,0.284876,3.4975,before_update
2026-03-09 22:41:02.779164+00,123,2,cnc_tool_breakage_classifier,2,1,0,0.275885,7.8365,before_update
2026-03-09 22:41:02.832459+00,124,2,cnc_tool_breakage_classifier,2,1,0,0.315448,5.995,before_update
2026-03-09 22:41:02.886134+00,125,2,cnc_tool_breakage_classifier,2,1,1,0.244457,4.4491,before_update
2026-03-09 22:41:02.941239+00,126,2,cnc_tool_breakage_classifier,2,1,1,0.273473,22.8452,before_update
2026-03-09 22:41:02.992264+00,127,2,cnc_tool_breakage_classifier,2,1,1,0.2385,47.6329,before_update
2026-03-09 22:41:03.043148+00,128,2,cnc_tool_breakage_classifier,2,1,1,0.232117,7.9127,before_update
2026-03-09 22:41:03.098873+00,129,2,cnc_tool_breakage_classifier,2,1,1,0.305029,19.3673,before_update
2026-03-09 22:41:03.15206+00,130,2,cnc_tool_breakage_classifier,2,1,1,0.235121,11.1898,before_update
2026-03-09 22:41:03.204726+00,131,2,cnc_tool_breakage_classifier,2,1,1,0.235192,25.5423,before_update
2026-03-09 22:41:03.257139+00,132,2,cnc_tool_breakage_classifier,2,0,1,0.352915,15.7878,before_update
2026-03-09 22:41:03.309963+00,133,2,cnc_tool_breakage_classifier,2,0,0,0.289893,20.1357,before_update
2026-03-09 22:41:03.362495+00,134,2,cnc_tool_breakage_classifier,2,1,1,0.255612,19.1704,before_update
2026-03-09 22:41:03.414813+00,135,2,cnc_tool_breakage_classifier,2,1,1,0.258999,31.7038,before_update
2026-03-09 22:41:03.466857+00,136,2,cnc_tool_breakage_classifier,2,1,1,0.350812,37.0618,before_update
2026-03-09 22:41:03.518283+00,137,2,cnc_tool_breakage_classifier,2,1,0,0.173476,4.7665,before_update
2026-03-09 22:41:03.573505+00,138,2,cnc_tool_breakage_classifier,2,1,1,0.290975,24.7722,before_update
2026-03-09 22:41:03.628896+00,139,2,cnc_tool_breakage_classifier,2,0,0,0.307167,11.9304,before_update
2026-03-09 22:41:03.680731+00,140,2,cnc_tool_breakage_classifier,2,1,1,0.211102,31.6035,before_update
2026-03-09 22:41:03.736864+00,141,2,cnc_tool_breakage_classifier,2,1,0,0.263007,10.821,before_update
2026-03-09 22:41:03.788955+00,142,2,cnc_tool_breakage_classifier,2,1,1,0.233651,17.6823,before_update
2026-03-09 22:41:03.84059+00,143,2,cnc_tool_breakage_classifier,2,0,0,0.333571,51.1967,before_update
2026-03-09 22:41:03.891179+00,144,2,cnc_tool_breakage_classifier,2,1,1,0.324552,40.2763,before_update
2026-03-09 22:41:03.94234+00,145,2,cnc_tool_breakage_classifier,2,0,0,0.385075,75.792,before_update
2026-03-09 22:41:03.993228+00,146,2,cnc_tool_breakage_classifier,2,1,1,0.205112,37.5899,before_update
2026-03-09 22:41:04.04434+00,147,2,cnc_tool_breakage_classifier,2,1,1,0.247989,4.2181,before_update
2026-03-09 22:41:04.098599+00,148,2,cnc_tool_breakage_classifier,2,1,0,0.219986,7.0695,before_update
2026-03-09 22:41:04.151497+00,149,2,cnc_tool_breakage_classifier,2,0,0,0.3193,7.7232,before_update
2026-03-09 22:41:04.205559+00,150,2,cnc_tool_breakage_classifier,2,1,1,0.35943,16.822,before_update
2026-03-09 22:41:04.25715+00,151,2,cnc_tool_breakage_classifier,2,1,1,0.245125,173.3851,before_update
2026-03-09 22:41:04.30813+00,152,2,cnc_tool_breakage_classifier,2,0,0,0.136401,87.5234,before_update
2026-03-09 22:41:04.362124+00,153,2,cnc_tool_breakage_classifier,2,1,0,0.324909,166.9796,before_update
2026-03-09 22:41:04.421106+00,154,2,cnc_tool_breakage_classifier,2,1,0,0.287195,80.5717,before_update
2026-03-09 22:41:04.472186+00,155,2,cnc_tool_breakage_classifier,2,0,1,0.305118,89.7452,before_update
2026-03-09 22:41:04.523205+00,156,2,cnc_tool_breakage_classifier,2,1,1,0.19604,96.0476,before_update
2026-03-09 22:41:04.574227+00,157,2,cnc_tool_breakage_classifier,2,1,1,0.327302,95.2336,before_update
2026-03-09 22:41:04.627405+00,158,2,cnc_tool_breakage_classifier,2,1,1,0.241676,91.5087,before_update
2026-03-09 22:41:04.683154+00,159,2,cnc_tool_breakage_classifier,2,1,1,0.253687,107.794,before_update
2026-03-09 22:41:04.734172+00,160,2,cnc_tool_breakage_classifier,2,1,1,0.378424,169.1234,before_update
2026-03-09 22:41:04.785144+00,161,2,cnc_tool_breakage_classifier,2,1,1,0.291302,160.3963,before_update
2026-03-09 22:41:04.836126+00,162,2,cnc_tool_breakage_classifier,2,1,1,0.21257,164.179,before_update
2026-03-09 22:41:04.88719+00,163,2,cnc_tool_breakage_classifier,2,1,1,0.181057,160.4276,before_update
2026-03-09 22:41:04.938146+00,164,2,cnc_tool_breakage_classifier,2,1,1,0.222784,166.3654,before_update
2026-03-09 22:41:04.989345+00,165,2,cnc_tool_breakage_classifier,2,1,1,0.19047,178.247,before_update
2026-03-09 22:41:05.040199+00,166,2,cnc_tool_breakage_classifier,2,1,1,0.298619,182.4438,before_update
2026-03-09 22:41:05.0912+00,167,2,cnc_tool_breakage_classifier,2,1,1,0.365193,184.5279,before_update
2026-03-09 22:41:05.142202+00,168,2,cnc_tool_breakage_classifier,2,1,1,0.320622,165.6586,before_update
2026-03-09 22:41:05.193149+00,169,2,cnc_tool_breakage_classifier,2,1,0,0.246919,170.3051,before_update
2026-03-09 22:41:05.244171+00,170,2,cnc_tool_breakage_classifier,2,0,0,0.185494,168.3741,before_update
2026-03-09 22:41:05.295411+00,171,2,cnc_tool_breakage_classifier,2,1,1,0.249424,180.5531,before_update
2026-03-09 22:41:05.346243+00,172,2,cnc_tool_breakage_classifier,2,0,0,0.287982,171.8506,before_update
2026-03-09 22:41:05.398206+00,173,2,cnc_tool_breakage_classifier,2,1,1,0.200622,174.0971,before_update
2026-03-09 22:41:05.449128+00,174,2,cnc_tool_breakage_classifier,2,1,1,0.339365,155.039,before_update
2026-03-09 22:41:05.500209+00,175,2,cnc_tool_breakage_classifier,2,0,1,0.20746,156.4581,before_update
2026-03-09 22:41:05.551217+00,176,2,cnc_tool_breakage_classifier,2,1,0,0.164057,153.6193,before_update
2026-03-09 22:41:05.602141+00,177,2,cnc_tool_breakage_classifier,2,1,0,0.399532,166.2139,before_update
2026-03-09 22:41:05.653192+00,178,2,cnc_tool_breakage_classifier,2,0,0,0.296747,145.9277,before_update
2026-03-09 22:41:05.704128+00,179,2,cnc_tool_breakage_classifier,2,0,0,0.24236,138.1964,before_update
2026-03-09 22:41:05.755162+00,180,2,cnc_tool_breakage_classifier,2,1,1,0.161332,145.7522,before_update
2026-03-09 22:41:05.806179+00,181,2,cnc_tool_breakage_classifier,2,1,1,0.406696,146.0509,before_update
2026-03-09 22:41:05.857124+00,182,2,cnc_tool_breakage_classifier,2,1,1,0.282288,144.9049,before_update
2026-03-09 22:41:05.90839+00,183,2,cnc_tool_breakage_classifier,2,1,1,0.301899,159.4617,before_update
