record_type,observed_at,event_time,cycle_id,latency_ms,prediction,actual_breakage,drift_score,model_name,model_version,cpu_pct,mem_usage_mib,mem_limit_mib,mem_pct
inference_event,,2026-03-09 22:27:40.096327+00,251,12.491,1,1,0.167995,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:40.147698+00,252,6.1288,1,1,0.263091,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:40.201165+00,253,12.1838,0,1,0.238035,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:40.253142+00,254,17.5152,1,0,0.294545,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:40.306071+00,255,14.6917,1,1,0.180087,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:40.357838+00,256,34.9473,1,0,0.261397,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:40.411513+00,257,10.6358,1,1,0.299784,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:40.467107+00,258,77.4563,1,1,0.251553,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:40.518081+00,259,2.8288,1,1,0.269526,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:40.570391+00,260,16.5575,1,1,0.288159,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:40.623455+00,261,28.8344,1,1,0.253696,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:40.674683+00,262,13.9055,0,0,0.201707,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:40.730336+00,263,71.6577,1,0,0.215688,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:40.781142+00,264,21.0121,1,1,0.2873,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:40.832185+00,265,2.9238,1,1,0.268102,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:40.886609+00,266,9.309,1,0,0.361008,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:40.939415+00,267,14.821,1,1,0.251664,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:40.990696+00,268,71.6271,1,1,0.243417,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:41.042187+00,269,2.9056,1,0,0.379606,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:41.094244+00,270,7.5252,1,1,0.374147,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:41.147437+00,271,7.3194,1,1,0.174732,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:41.201135+00,272,37.4259,1,1,0.236033,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:41.255328+00,273,14.2662,1,0,0.167083,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:41.306341+00,274,14.9827,1,1,0.407717,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:41.358793+00,275,3.8475,1,1,0.226064,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:41.415115+00,276,23.5561,1,1,0.408079,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:41.467556+00,277,9.5283,1,1,0.352409,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:41.518847+00,278,7.2966,1,1,0.170924,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:41.574905+00,279,36.816,1,1,0.212003,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:41.629383+00,280,17.6077,1,1,0.282574,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:41.682023+00,281,5.7347,1,1,0.306083,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:41.734447+00,282,11.5877,1,1,0.304452,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:41.785406+00,283,16.7753,1,1,0.232862,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:41.836115+00,284,8.2644,1,0,0.289504,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:41.892121+00,285,4.7136,1,1,0.24726,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:41.943172+00,286,94.1082,0,1,0.181786,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:41.994109+00,287,92.1723,1,1,0.249791,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:42.045195+00,288,3.5614,1,1,0.254569,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:42.096228+00,289,2.6932,1,1,0.340416,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:42.148192+00,290,3.8905,1,0,0.244729,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:42.20051+00,291,12.9425,1,1,0.367062,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:42.251317+00,292,11.2193,1,0,0.197619,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:42.302459+00,293,27.7227,1,1,0.185895,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:42.353271+00,294,8.4491,1,1,0.178811,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:42.405326+00,295,15.817,1,1,0.349973,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:42.455843+00,296,14.9103,1,1,0.185785,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:42.509849+00,297,57.2633,0,1,0.218554,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:42.561151+00,298,55.0396,1,1,0.318527,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:42.612147+00,299,2.9309,1,1,0.304293,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:42.66779+00,300,3.3532,1,0,0.256422,cnc_tool_breakage_classifier,1,,,,
